RMSE,MAE,R2,N,label,feat_cols,step,step_min,target,scenario,level
747.81,538.73,0.8771,1743,[场站] P0: 仅历史功率,power_farm,3,30,power_farm,P0: 仅历史功率,farm
820.07,595.3,0.8523,1743,[场站] P0: 仅历史功率,power_farm,6,60,power_farm,P0: 仅历史功率,farm
517.42,375.28,0.941,1743,[场站] M0: SCADA机舱风速+功率,HWS_scada|power_farm,1,10,power_farm,M0: SCADA机舱风速+功率,farm
661.65,476.05,0.9036,1743,[场站] M0: SCADA机舱风速+功率,HWS_scada|power_farm,2,20,power_farm,M0: SCADA机舱风速+功率,farm
752.41,540.94,0.8756,1743,[场站] M0: SCADA机舱风速+功率,HWS_scada|power_farm,3,30,power_farm,M0: SCADA机舱风速+功率,farm
832.19,601.59,0.8479,1743,[场站] M0: SCADA机舱风速+功率,HWS_scada|power_farm,6,60,power_farm,M0: SCADA机舱风速+功率,farm
520.35,377.09,0.9403,1743,[场站] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power_farm,1,10,power_farm,M5: 全距离LiDAR+SCADA+功率,farm
670.91,482.17,0.9009,1743,[场站] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power_farm,2,20,power_farm,M5: 全距离LiDAR+SCADA+功率,farm
772.48,552.58,0.8689,1743,[场站] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power_farm,3,30,power_farm,M5: 全距离LiDAR+SCADA+功率,farm
857.9,621.9,0.8384,1743,[场站] M5: 全距离LiDAR+SCADA+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|power_farm,6,60,power_farm,M5: 全距离LiDAR+SCADA+功率,farm
530.26,378.49,0.938,1743,[场站] E4: 全HWS+SCADA+全气象+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|VShear_40m|VShear_60m|VShear_90m|VShear_120m|VShear_150m|VShear_180m|VShear_210m|VShear_240m|VShear_270m|VShear_300m|HShear_40m|HShear_60m|HShear_90m|HShear_120m|HShear_150m|HShear_180m|HShear_210m|HShear_240m|HShear_270m|HShear_300m|TI_avg_40m|TI_avg_60m|TI_avg_90m|TI_avg_120m|TI_avg_150m|TI_avg_180m|TI_avg_210m|TI_avg_240m|TI_avg_270m|TI_avg_300m|power_farm,1,10,power_farm,E4: 全HWS+SCADA+全气象+功率,farm
677.2,484.73,0.899,1743,[场站] E4: 全HWS+SCADA+全气象+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|VShear_40m|VShear_60m|VShear_90m|VShear_120m|VShear_150m|VShear_180m|VShear_210m|VShear_240m|VShear_270m|VShear_300m|HShear_40m|HShear_60m|HShear_90m|HShear_120m|HShear_150m|HShear_180m|HShear_210m|HShear_240m|HShear_270m|HShear_300m|TI_avg_40m|TI_avg_60m|TI_avg_90m|TI_avg_120m|TI_avg_150m|TI_avg_180m|TI_avg_210m|TI_avg_240m|TI_avg_270m|TI_avg_300m|power_farm,2,20,power_farm,E4: 全HWS+SCADA+全气象+功率,farm
791.07,570.97,0.8625,1743,[场站] E4: 全HWS+SCADA+全气象+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|VShear_40m|VShear_60m|VShear_90m|VShear_120m|VShear_150m|VShear_180m|VShear_210m|VShear_240m|VShear_270m|VShear_300m|HShear_40m|HShear_60m|HShear_90m|HShear_120m|HShear_150m|HShear_180m|HShear_210m|HShear_240m|HShear_270m|HShear_300m|TI_avg_40m|TI_avg_60m|TI_avg_90m|TI_avg_120m|TI_avg_150m|TI_avg_180m|TI_avg_210m|TI_avg_240m|TI_avg_270m|TI_avg_300m|power_farm,3,30,power_farm,E4: 全HWS+SCADA+全气象+功率,farm
870.41,628.94,0.8337,1743,[场站] E4: 全HWS+SCADA+全气象+功率,HWS_40m|HWS_60m|HWS_90m|HWS_120m|HWS_150m|HWS_180m|HWS_210m|HWS_240m|HWS_270m|HWS_300m|HWS_scada|VShear_40m|VShear_60m|VShear_90m|VShear_120m|VShear_150m|VShear_180m|VShear_210m|VShear_240m|VShear_270m|VShear_300m|HShear_40m|HShear_60m|HShear_90m|HShear_120m|HShear_150m|HShear_180m|HShear_210m|HShear_240m|HShear_270m|HShear_300m|TI_avg_40m|TI_avg_60m|TI_avg_90m|TI_avg_120m|TI_avg_150m|TI_avg_180m|TI_avg_210m|TI_avg_240m|TI_avg_270m|TI_avg_300m|power_farm,6,60,power_farm,E4: 全HWS+SCADA+全气象+功率,farm
